         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9321    0.040    0.000    0.104    0.000 nodes.py:128(iter_child_nodes)
    15809    0.040    0.000    0.052    0.000 nodes.py:112(iter_fields)
    27555    0.040    0.000    0.040    0.000 {isinstance}
 2506/117    0.028    0.000    0.080    0.001 nodes.py:148(find_all)
     4198    0.024    0.000    0.024    0.000 {built-in method match}
14952/14468    0.020    0.000    0.112    0.000 {getattr}
     1423    0.020    0.000    0.068    0.000 lexer.py:429(tokeniter)
 1716/253    0.016    0.000    0.076    0.000 visitor.py:41(generic_visit)
      100    0.012    0.000    0.080    0.001 related.py:223(__get__)
    645/6    0.012    0.000    0.044    0.007 visitor.py:58(generic_visit)
     1282    0.012    0.000    0.012    0.000 {built-in method end}
        6    0.012    0.002    0.012    0.002 {compile}
     1012    0.012    0.000    0.092    0.000 lexer.py:384(wrap)
     2244    0.012    0.000    0.012    0.000 {method 'write' of 'cStringIO.StringO' objects}
     3148    0.012    0.000    0.020    0.000 visitor.py:26(get_visitor)
      582    0.012    0.000    0.012    0.000 nodes.py:91(__init__)
      720    0.008    0.000    0.016    0.000 {method 'decode' of 'str' objects}
  3148/12    0.008    0.000    0.232    0.019 visitor.py:34(visit)
      160    0.008    0.000    0.012    0.000 base.py:194(__init__)
       62    0.008    0.000    0.012    0.000 related.py:596(get_related_field)
       62    0.008    0.000    0.008    0.000 {method 'ping' of '_mysql.connection' objects}
     38/9    0.008    0.000    0.008    0.001 sre_parse.py:385(_parse)
       20    0.008    0.000    0.012    0.001 related.py:287(__get__)
   330/78    0.008    0.000    0.012    0.000 copy.py:144(deepcopy)
       62    0.008    0.000    0.016    0.000 query.py:251(as_sql)
      222    0.008    0.000    0.072    0.000 query.py:262(iterator)
       76    0.008    0.000    0.024    0.000 query.py:150(clone)
       63    0.004    0.000    0.004    0.000 query.py:44(__init__)
        3    0.004    0.001    0.004    0.001 lexer.py:300()
       34    0.004    0.000    0.004    0.000 compiler.py:452(signature)
       73    0.004    0.000    0.004    0.000 query.py:1273(setup_joins)
     3872    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      910    0.004    0.000    0.004    0.000 {ord}
       90    0.004    0.000    0.004    0.000 times.py:43(DateTime_or_None)
      310    0.004    0.000    0.004    0.000 cursors.py:124(_get_db)
      697    0.004    0.000    0.008    0.000 utf_8.py:15(decode)
       62    0.004    0.000    0.004    0.000 query.py:473(get_default_columns)
       76    0.004    0.000    0.012    0.000 tree.py:55(__deepcopy__)
     67/8    0.004    0.000    0.008    0.001 sre_compile.py:38(_compile)
      697    0.004    0.000    0.004    0.000 {_codecs.utf_8_decode}
  125/105    0.004    0.000    0.036    0.000 parser.py:389(parse_mul)
       62    0.004    0.000    0.004    0.000 __init__.py:154(last_executed_query)
