   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.248    0.001    0.340    0.002 {built-in method load}
      246    0.212    0.001    0.212    0.001 :1(sendall)
      790    0.092    0.000    0.092    0.000 {method 'recv' of '_socket.socket' objects}
     8876    0.072    0.000    0.092    0.000 copy_reg.py:46(_reconstructor)
       84    0.032    0.000    0.796    0.009 models.py:165(features_dict)
      246    0.032    0.000    0.752    0.003 memcache.py:648(get)
     8876    0.020    0.000    0.020    0.000 {built-in method __new__ of type object at 0x7f3285ff7200}
     1983    0.016    0.000    0.080    0.000 related.py:223(__get__)
      246    0.016    0.000    0.024    0.000 memcache.py:927(check_key)
3155/3041    0.016    0.000    0.068    0.000 {getattr}
     1983    0.012    0.000    0.012    0.000 __init__.py:171(get_cache_name)
       84    0.012    0.000    0.728    0.009 models.py:132(features)
      246    0.012    0.000    0.032    0.000 memcache.py:905(recv)
3305/3225    0.012    0.000    0.040    0.000 {len}
     6172    0.008    0.000    0.008    0.000 {ord}
     2063    0.008    0.000    0.008    0.000 {isinstance}
      244    0.008    0.000    0.772    0.003 models.py:41(cache_get)
       12    0.008    0.001    0.008    0.001 {method 'query' of '_mysql.connection' objects}
      492    0.008    0.000    0.092    0.000 memcache.py:879(readline)
      640    0.008    0.000    0.060    0.000 environment.py:329(getattr)
   209/12    0.008    0.000    0.880    0.073 runtime.py:119(call)
       12    0.004    0.000    0.012    0.001 query.py:473(get_default_columns)
      246    0.004    0.000    0.004    0.000 {binascii.crc32}
      246    0.004    0.000    0.004    0.000 memcache.py:831(_check_dead)
       10    0.004    0.000    0.008    0.001 filters.py:349(do_truncate)
      157    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
       42    0.004    0.000    0.040    0.001 query.py:262(iterator)
      250    0.004    0.000    0.004    0.000 {range}
      140    0.004    0.000    0.004    0.000 connections.py:189(string_decoder)
      246    0.004    0.000    0.008    0.000 encoding.py:73(smart_str)
      246    0.004    0.000    0.376    0.002 memcache.py:757(_recv_value)
       24    0.004    0.000    0.004    0.000 base.py:101(__getattr__)
      170    0.004    0.000    0.008    0.000 base.py:143(quote_name)
      246    0.004    0.000    0.088    0.000 memcache.py:745(_expectvalue)
       56    0.004    0.000    0.004    0.000 format.py:69(unlimited)
        1    0.004    0.004    0.004    0.004 forms.py:343(as_widget)
      738    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
       12    0.004    0.000    0.008    0.001 {built-in method fetch_row}
       42    0.004    0.000    0.036    0.001 query.py:200(results_iter)
      246    0.004    0.000    0.768    0.003 memcached.py:24(get)
       28    0.004    0.000    0.004    0.000 files.py:116(__get__)
       16    0.004    0.000    0.004    0.000 datastructures.py:149(copy)
       98    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
       22    0.004    0.000    0.004    0.000 {issubclass}
       59    0.004    0.000    0.092    0.002 sidebar.html:5(root)
       13    0.004    0.000    0.004    0.000 query.py:1273(setup_joins)
      170    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {time.time}
       12    0.000    0.000    0.000    0.000 query.py:522(get_from_clause)
       22    0.000    0.000    0.012    0.001 query.py:175(_result_iter)
       12    0.000    0.000    0.000    0.000 base.py:232(_valid_connection)
       29    0.000    0.000    0.000    0.000 filters.py:193(do_default)
       12    0.000    0.000    0.000    0.000 copy.py:197(_deepcopy_atomic)
       16    0.000    0.000    0.000    0.000 tree.py:55(__deepcopy__)
       70    0.000    0.000    0.000    0.000 copy.py:261(_keep_alive)
        4    0.000    0.000    0.000    0.000 functional.py:246(wrapper)
        5    0.000    0.000    0.000    0.000 environment.py:641(new_context)
      341    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.000    0.000 where.py:30(add)
       40    0.000    0.000    0.000    0.000 datastructures.py:113(keys)
        2    0.000    0.000    0.000    0.000 {built-in method match}
        2    0.000    0.000    0.012    0.006 query.py:610(_fill_cache)
        1    0.000    0.000    0.000    0.000 index.html:19(macro)
